Location,Capacity (MWh),Capacity (MW),Battery Modules,Integrator,Application,Installation,Enclosure Type,Event Date,System Age (yr),Cause,Extent of Damage,State during Accident,Description,Source,Additional Resources,Other Notes,"Custom location (Lat, Lon)",Root Cause,Failed Element,Source URL 1,Source URL 2,Source URL 3
"Australia, Victoria, Moorabool",450.0,300.0,Tesla [NMC],Tesla,Grid Stability,Rural,Integrated products,30/07/2021,0.0,The probable root cause was identified as a leak in the internal coolant system of the Tesla Megapack,Fire,"Construction, Commissioning","The thermal event started in one Megapack and propagated to another. Two adjacent megapacks were damaged by thermal radiation from the fire. This event occurred during commissioning, when the Megapack was switched to off-line service mode. The resulting  shutdown of telemetry systems, battery cooling system, and battery protection system led to a loss of visibility on the Megapack's condition, alarming, and other prevention/mitigation functionalities.",Investigation Report,ABC News,,,"Integration, Construction, or Assembly",Balance of plant,https://www.cfa.vic.gov.au/news/moorabool-battery-fire-2021,https://www.abc.net.au/news/2021-07-30/victoria-battery-fire-moorabool-geelong/100335678,https://www.theage.com.au/national/victoria/moorabool-battery-fire-contained-after-days-20210731-p58eow.html
"US, CA, Moss Landing",1200.0,300.0,LG Energy Solution,Fluence,Solar Integration,Power Plant,,04/09/2021,0.8,,"Scorched racks, melted wires",,,Vistra,[https://pv-magazine-usa.com/2021/09/07/moss-landing-energy-storage-facility-knocked-offline-after-batteries-overheat PV Magazine]<br>[https://vistra.app.box.com/s/1aezfypko93vz5jm9nn9tckphtjkgzvb Vistra Findings and Corrective Actions Report],,"36.806160, -121.781212","Integration, Construction, or Assembly",Balance of plant,https://www.cpuc.ca.gov/news-and-updates/news/2025/03/new-oversight-rules-for-bess-following-moss-landing-fire,https://www.co.monterey.ca.us/government/board-of-supervisors/meetings/2025/03-17-special-session-moss-landing-battery-fire,https://www.kron4.com/news/lawsuit-filed-over-moss-landing-power-plant-fire/
"South Korea, Nam-gu, Ulsan",50.0,10.0,SK Innovation,,Peak Load Reduction,Urban,3-story Building,12/01/2022,2.0,,Fully burnt,Operational,,E2News,[https://www-infostockdaily-co-kr.translate.goog/news/articleView.html?idxno=51773&_x_tr_sch=http&_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en-US Infostock Daily]<br>[https://www.newsdirectory3.com/%EC%86%8D%EB%B3%B4-ulsan-sk-energy-3-story-building-battery-storage-building-fire-suppressed/News Directory 3],3-story ESS building,,,,,,
"South Korea, Gunwi-gun, Gyeongsangbuk-do",1.5,0.45,LG Energy Solution,,Solar integration,Rural,,17/01/2022,3.0,,Fully burnt. Explosion,Operation. Fully charged,,E2News,,,,Manufacturing,Controls,,,
"US, CA, Moss Landing",400.0,100.0,LG Energy Solution,,Solar Integration,Power Plant,Building,13/02/2022,1.0,,Burnt racks,Operational,,KSBW News,[https://investor.vistracorp.com/news?item=220 Vistra Corp],"According to the news report, there were 10 burnt racks and the fire suppression system activated.","36.806521, -121.782813","Integration, Construction, or Assembly",Balance of plant,https://www.cpuc.ca.gov/news-and-updates/news/2025/03/new-oversight-rules-for-bess-following-moss-landing-fire,https://www.co.monterey.ca.us/government/board-of-supervisors/meetings/2025/03-17-special-session-moss-landing-battery-fire,https://www.kron4.com/news/lawsuit-filed-over-moss-landing-power-plant-fire/
"Taiwan, Taichung City, Longjing District",1.0,1.0,,,Solar Integration,Power Plant,Container,30/03/2022,2.0,,Fire,Operational,,Yantai Chuangwei Technology,Original Resource (Chinese),,,,,,,
"US, CA, Valley Center",560.0,140.0,LG Energy Solution,Terra-Gen,,Rural,Container,05/04/2022,0.2,,Damage to single rack,Operational,,Valley Road Runner,[https://www.energy-storage.news/terra-gen-battery-storage-560mwh-bess-valley-center-san-diego-california-online/ Energy Storage News],,"33.227178, -117.019488",Design,Controls,,,
"US, AZ, Chandler",40.0,10.0,LG Chem [NMC],AES/Fluence,,Substation,Building,18/04/2022,3.0,,,Operational,,AZ Central,[https://blog.fluenceenergy.com/srp-aes-launch-arizonas-first-standalone-energy-storage-project-to-provide-flexible-peaking-capacity Fluence Energy],,,,,,,
"South Korea, Jangseong-gun",,,,,Solar Integration,,Container,02/05/2022,,,,,The battery in a solar plus storage system caught fire.,Newspim,,,,,,,,
"US, CA, Rio Dell",,,Lead Acid,Narada,Solar Integration / Backup,Rural,Container,03/08/2022,4.0,,Explosion. Nearby building damage,Operational,,KRCR,[https://kymkemp.com/2022/08/03/explosion-rocks-rio-dell/],,,,,,,
"South Korea, Incheon",,103.0,,,Energy Shifting,Factory,Building,06/09/2022,,,,Operational,,Teller Report,[https://koreajoongangdaily.joins.com/2022/09/06/business/industry/Hyundai-Steel-ESS-energy-storage-system/20220906085743486.html Korea JoongAng Daily],,,,,,,
"USA, Wyoming, Yellowstone National Park",,,,,Solar Integration,Indoor,,06/09/2022,,,Exterior of building was undamaged.,,Smoke was seen coming from a building housing a solar plus storage system. West Thumb Geyser Basin was closed for 6 days following the incident.,National Park Service,,,,,,,,
"US, CA, Moss Landing",730.0,182.5,Tesla,Tesla,"Energy Shifting, Ancillary Services",Substation,Container,20/09/2022,0.5,,,Operational,Fire in one Megapack unit at PG&E Elkhorn battery facility,KSBW News,[https://insideevs.com/news/590551/pge-moss-landing-elkhorn-battery InsideEVs]<br>[https://www.teslarati.com/tesla-elkhorn-bess-battery-fire Teslarati]<br>[https://www.pgecurrents.com/articles/3832-pg-e-shares-findings-september-2022-moss-landing-megapack-incident PG&E],,"36.807910, -121.781657","Integration, Construction, or Assembly
Design","Balance of plant
Controls",https://www.cpuc.ca.gov/news-and-updates/news/2025/03/new-oversight-rules-for-bess-following-moss-landing-fire,https://www.co.monterey.ca.us/government/board-of-supervisors/meetings/2025/03-17-special-session-moss-landing-battery-fire,https://www.kron4.com/news/lawsuit-filed-over-moss-landing-power-plant-fire/
"China, Hainan",50.0,25.0,Ruipu,Beijing Baoguang Zhizhong Energy Technology Co.,Solar Integration,,Container,20/10/2022,0.0,,One of the ten battery containers destroyed,Commissioning,,china5e.com,,,,,,,,
"South Korea, Jeollanam-do, Damyang-gun, Mujeong-myeon, Deokgok-ri",9.1,2.5,Samsung SDI,,Solar Integration,Rural,Building,08/12/2022,5.5,,System destroyed,Operational,,E2News.com,,,,,,,,
"South Korea, Jeollanam-do, Yeongam-gun, Geumjeong-myeon",251.0,,,Daemyung Energy,Solar Integration,Rural,Building,27/12/2022,1.75,,At least one of 24 BESS buildings destroyed,Operational,,E2News.com,,,,,,,,
"US, PA, Millvale",,,SimpliPhi Power (LFP),,Solar Integration,Urban,Basement,30/01/2023,,,System destroyed with severe damage to basement,Operational,Relatively small  battery system in the basement of a commercial building. Batteries were tied to rooftop solar and used to power a kitchen on the main floor.,WTAE,[https://diysolarforum.com/threads/local-pittsburgh-solar-battery-fire.54401/ DIY Solar Power Forum],,,,,,,
"France, Saint-Trivier-sur-Moignans",,,,,,"Indoor, Datacenter",,28/03/2023,,,,,"Data center burned down. Data center had a solar + storage system, and lithium ion battery is suspected to be the cause of fire.",DCD,Network World,,"46.070818340227994, 4.917638669418981",,,,,
"Sweden, Gothenburg, Vastra Frolunda",0.875,,,,,Indoor,Container,26/04/2023,0.0,"Investigation concludes that the most likely cause was a leak into the battery cell during pressure testing of the cooling system, which caused a short circuit and thermal runaway.",Explosion,Pre-commissioning,"The container was on wheels and was moved from indoors to outdoors when smoke was seen. A cutting extinguisher was used to cool the battery, but several minutes later an explosion occurred. The nearby community was directed to stay indoors and an adjacent building was evacuated during fire fighting activities. Fire propagation to the adjacent building was limited by water from jet pipes and water cannons. The fire was extinguished, but the batteries began smoking again the next day. The battery container was submerged by crane in water in a larger container.",Battery Energy Storage Container Fire Report (English translation),"[https://www.svt.se/nyheter/lokalt/vast/gifitig-rok-efter-brand-i-container-i-sisjon SVT NYHETER] <br>[https://epri.box.com/shared/static/7vczbver2lc8gi1ak1akdttxb0yztfxm.pdf Battery Energy Storage Container Fire Report (Original Document, Swedish)]",,"57.655786, 11.919700","Integration, Construction, or Assembly",Balance of plant,,,
"US, NY, East Hampton",40.0,5.0,LG Chem,Haugland Energy Group,"Resiliency, Utility Peak Reduction",Substation,Building,31/05/2023,4.8,,,Operational,"A 'smoldering battery' was reported, closing down roads and stopping train service for about an hour until the fire was contained. NextEra reported that an internal sprinkler system contained the fire. ",East Hampton Star,[https://www.27east.com/east-hampton-press/fire-shuts-down-east-hampton-energy-storage-batteries-2165549/ 27east]<br>[https://hauglandgroup.us/blog/press-release-east-hampton-energized/ Haugland Group]<br>[https://der.nyserda.ny.gov/facilities/752/ NYSERDA]<br>[https://www.power-technology.com/marketdata/east-hampton-energy-storage-center-battery-energy-storage-system-us/ Power Technology]<br>[https://epri.box.com/shared/static/q5pjeq0787r2e9i9kmtcyts4onurrveg.pdf BESS Permit],,,,,,,
"US, NY, Warwick",36.0,8.0,Powin Energy,Convergent Energy and Power,"Energy Shifting, Backup",Substation,Integrated products,26/06/2023,0.1,,Multiple racks destroyed,Operational,"This event is one half of a larger simultaneous failure across 2 discrete sites in Warwick, NY. Both sites deployed the new ""Centipede"" model from Powin and both failures seemed to have occuredwithin 24 hours of each other.  The failure appeared to occur during a large storm that affected both sites in Warwick",Convergent Energy and Power,[https://hudsonvalley.news12.com/lithium-ion-batteries-removed-from-warwick-storage-site-following-2-fires Hudson Valley News 12]<br>[https://www.energy-storage.news/non-wires-alternative-battery-storage-to-ease-new-york-utility-ors-distribution-load-completed/ Energy Storage News],"""A statement from Convergent said they are “following the industry’s best practice of maintaining a safe distance and letting combustible material deteriorate.” The company said it is not recommended to use water to suppress a battery storage fire.""","41.252300, -74.383459",Design,Balance of plant,,,
"US, NY, Warwick",17.9,4.0,Powin Energy,Convergent Energy and Power,"Energy Shifting, Backup",Substation,Integrated products,27/06/2023,0.1,,"It is unclear if this site experienced a fire, but the system ""was experiencing problems"" and fire alarms were triggered. The batteries were later removed from the site to be disposed of. ",Operational,"This event is one half of a larger simultaneous failure across 2 discrete sites in Warwick, NY. Both sites deployed the new ""Centipede"" model from Powin and both failures seemed to have occuredwithin 24 hours of each other. The failure appeared to occur during a large storm that affected both sites in Warwick.",Convergent Energy and Power,[https://hudsonvalley.news12.com/lithium-ion-batteries-removed-from-warwick-storage-site-following-2-fires Hudson Valley News 12]<br>[https://www.energy-storage.news/non-wires-alternative-battery-storage-to-ease-new-york-utility-ors-distribution-load-completed/ Energy Storage News],"""A statement from Convergent said they are “following the industry’s best practice of maintaining a safe distance and letting combustible material deteriorate.” The company said it is not recommended to use water to suppress a battery storage fire.""","41.259169, -74.353709","Design
Integration, Construction, or Assembly","Balance of plant
Controls",,,
"Taiwan, Taichung City, Longjing District",,,LFP,,,,Shipping container,04/07/2023,,,At least one container was damaged. Burn extent was reported to be 30 sq. m. ,,Fire was reported in an outdoor storage facility. At least one container with batteries was on fire. The damage area was reported by to ~30 sq. m. ,United Daily News,[https://n.yam.com/Article/20230704453110 yam.com],"Firefighters first sprayed foam on the containeres, then a firefighter in full protection opened the container door to allow suppression of the fire inside the container. Once the flames were suppressed, the team continued to spray water inside the container to cool the system down. ","24.21712970256736, 120.51009561102623",,,,,
"US, NY, Chaumont",15.0,5.0,General Electric,Convergent Energy and Power,Solar Integration,Rural,Container,27/07/2023,0.4,,,Operational,Fire was reported in an outdoor storage facility co-located with solar PV. A shelter-in-place order was issued for the surrounding community within 1 mile of the facility. ,7 News WWNYTV,[https://www.convergentep.com/portfolio/chaumont-5 Convergent]<br>[https://der.nyserda.ny.gov/facilities/3072 NYSERDA]<br>[https://spectrumlocalnews.com/nys/central-ny/public-safety/2023/08/01/jefferson-county-solar-farm-battery-fire Spectrum Local News]<br>[https://www.wwnytv.com/2023/07/28/convergent-offers-words-apology-solar-farm-fire-continues-burn/ 7 News WWNYTV],"This is the third incident in NY state within a couple of months, prompting Gov Kathy Hochul to announce the creation of an interagency task force focused on BESS safety. ","44.070974, -76.126142",Design,Controls,,,
"China, Xiangzhou District, Zuhai City",,,,,,Warehouse,Cabinet,19/08/2023,,,,,"Fire fighters used water to extinguish the fire. Later, the battery cabinet suddenly caught fire again. Staff protected by fire fighters used a forklift to transfer each battery cabinet to an outdoor open area for cooling. ",OFweek,,,,,,,,
"France, Saucats, Barban",98.0,105.0,,Nidec Industrial Solutions,,Rural,Container,22/08/2023,0.0,,Single container damaged,Pre-commissioning,Fire broke out at an outdoor storage facility. A water curtain was used to prevent propagation. No injuries were reported. Local residents raised concerns about smoke affected nearby cropland and forests. ,dayFREuro,[https://www.amarencogroup.com/en/one-of-the-largest-european-battery-storage-projects-in-saucats Amarenco]<br>[https://kommunikasjon.ntb.no/pressemelding/amarenco-raises-300-million-euros-to-support-its-growth-as-a-solar-ipp-and-storage-energy-player?publisherId=90063&releaseId=17959751 NTB Kommunikasjon],,"44.616355, -0.615538",,,,,
